Name,Type,Value,Image Name
Career Awareness,Career Awareness & Exploration,10,awareness - career awareness.jpg
Career Exploration,Career Awareness & Exploration,10,awareness - career exploration.jpg
FAFSA,Career Awareness & Exploration,10,awareness - fafsa.jpg
Mission Statement,Career Awareness & Exploration,10,awareness - mission statement.jpg
Salary,Career Awareness & Exploration,10,awareness - salary.jpg
Competitive Advantage,Innovation & Entrepreneurship,20,innovation - competitive advantage.jpg
"Copyrights, Patents & Trade Marks",Innovation & Entrepreneurship,20,innovation - copyrights.jpg
Educational Program,Innovation & Entrepreneurship,20,innovation - education program.jpg
Entertainment Program,Innovation & Entrepreneurship,20,innovation - entertainment program.jpg
Guest Services Program,Innovation & Entrepreneurship,20,innovation - guest services programs.jpg
Operations,Innovation & Entrepreneurship,20,innovation - operations.png
Product Life Cycle,Innovation & Entrepreneurship,20,innovation - product life cycle.jpg
Products & Services I,Innovation & Entrepreneurship,20,innovation - products _ services i.jpg
Products & Services II,Innovation & Entrepreneurship,20,innovation - products _ services ii.jpg
Research & Development,Innovation & Entrepreneurship,20,innovation - research.png
Speaker Program,Innovation & Entrepreneurship,20,innovation - speaker program.jpg
Suppliers,Innovation & Entrepreneurship,20,innovation - supplier.png
Advancement,Workforce Readiness & Personal Branding,30,workforce - advancement.jpg
Appearance,Workforce Readiness & Personal Branding,30,workforce - appearance.jpg
Budget,Workforce Readiness & Personal Branding,30,workforce - budget.jpg
Contributions,Workforce Readiness & Personal Branding,30,workforce - contributions.jpg
Effective Communicator,Workforce Readiness & Personal Branding,30,workforce - effective communications.jpg
Feedback,Workforce Readiness & Personal Branding,30,workforce - feedback.jpg
Help,Workforce Readiness & Personal Branding,30,workforce - help.jpg
Job Market,Workforce Readiness & Personal Branding,30,workforce - job market.jpg
Job Search,Workforce Readiness & Personal Branding,30,workforce - job search.jpg
Mock Interview,Workforce Readiness & Personal Branding,30,workforce - mock interviews.jpg
Negotiations,Workforce Readiness & Personal Branding,30,workforce - negotiations.jpg
Resume & Cover Letter,Workforce Readiness & Personal Branding,30,workforce - resume.jpg
Takes Initiative,Workforce Readiness & Personal Branding,30,workforce - takes initiative.jpg
Thank You,Workforce Readiness & Personal Branding,30,workforce - thank you.jpg
Time Management,Workforce Readiness & Personal Branding,30,workforce - time management.jpg
Transition,Workforce Readiness & Personal Branding,30,workforce - transition.jpg
Workplace,Workforce Readiness & Personal Branding,30,workforce - workplace.jpg
"Agriculture, Food & Natural Resources",STEAM Career Clusters,40,skill - agriculture.jpg
Architecture & Construction,STEAM Career Clusters,40,skill - architecture.jpg
"Arts, A/V Tech & Communications",STEAM Career Clusters,40,skill - art.jpg
Business Management & Admin,STEAM Career Clusters,40,skill - business.jpg
Education & Training,STEAM Career Clusters,40,skill - education.jpg
"Film, Digital Media & Entertainment",STEAM Career Clusters,40,skill - film.jpg
Finance,STEAM Career Clusters,40,skill - finance.jpg
Government & Public Policy,STEAM Career Clusters,40,skill - government.jpg
Green Energy & Sustainable Technology,STEAM Career Clusters,40,skill - green energy.jpg
Health Sciences,STEAM Career Clusters,40,skill - health sciences.jpg
Hospitality & Tourism,STEAM Career Clusters,40,skill - hospitality.jpg
Human Services,STEAM Career Clusters,40,skill - human services.jpg
Information Technology,STEAM Career Clusters,40,skill - info tech.jpg
Law & Public Safety,STEAM Career Clusters,40,skill - law.jpg
Manufacturing,STEAM Career Clusters,40,skill - manufacturing.jpg
Marketing,STEAM Career Clusters,40,skill - marketing.jpg
STEAM Investigative Process,STEAM Career Clusters,40,skill - STEAM IP.jpg
"Transportation, Distribution & Logistics",STEAM Career Clusters,40,skill - transportation.jpg
Communications Director,"Leadership, Teamwork & Problem-Solving",50,lead - communications director.jpg
Community Ecosystem,"Leadership, Teamwork & Problem-Solving",50,lead - community ecosystem.jpg
Conflict Resolution,"Leadership, Teamwork & Problem-Solving",50,lead - conflict resolution.jpg
Culture,"Leadership, Teamwork & Problem-Solving",50,lead - culture.jpg
Family & Peer Network,"Leadership, Teamwork & Problem-Solving",50,lead - family _ peers.jpg
Finance Director,"Leadership, Teamwork & Problem-Solving",50,lead - finance director.jpg
General Manager,"Leadership, Teamwork & Problem-Solving",50,lead - general manager.jpg
Leadership,"Leadership, Teamwork & Problem-Solving",50,lead - leadership.jpg
Network Services Director,"Leadership, Teamwork & Problem-Solving",50,lead - network director.jpg
Team Operations Director,"Leadership, Teamwork & Problem-Solving",50,lead - team operations.jpg
Workshops & Special Events Director,"Leadership, Teamwork & Problem-Solving",50,lead - workshops.jpg
