Name,Type,Value,Image Name
Career Awareness,awareness,10,awareness - career awareness.jpg
Career Exploration,awareness,10,awareness - career exploration.jpg
FAFSA,awareness,10,awareness - fafsa.jpg
Mission Statement,awareness,10,awareness - mission statement.jpg
Salary,awareness,10,awareness - salary.jpg
Competitive Advantage,innovation,20,innovation - competitive advantage.jpg
"Copyrights, Patents & Trade Marks",innovation,20,innovation - copyrights.jpg
Educational Program,innovation,20,innovation - education program.jpg
Entertainment Program,innovation,20,innovation - entertainment program.jpg
Guest Services Program,innovation,20,innovation - guest services programs.jpg
Operations,innovation,20,innovation - operations.png
Product Life Cycle,innovation,20,innovation - product life cycle.jpg
Products & Services I,innovation,20,innovation - products _ services i.jpg
Products & Services II,innovation,20,innovation - products _ services ii.jpg
Research & Development,innovation,20,innovation - research.png
Speaker Program,innovation,20,innovation - speaker program.jpg
Suppliers,innovation,20,innovation - supplier.png
Advancement,workforce,30,workforce - advancement.jpg
Appearance,workforce,30,workforce - appearance.jpg
Budget,workforce,30,workforce - budget.jpg
Contributions,workforce,30,workforce - contributions.jpg
Effective Communicator,workforce,30,workforce - effective communications.jpg
Feedback,workforce,30,workforce - feedback.jpg
Help,workforce,30,workforce - help.jpg
Job Market,workforce,30,workforce - job market.jpg
Job Search,workforce,30,workforce - job search.jpg
Mock Interview,workforce,30,workforce - mock interviews.jpg
Negotiations,workforce,30,workforce - negotiations.jpg
Resume & Cover Letter,workforce,30,workforce - resume.jpg
Takes Initiative,workforce,30,workforce - takes initiative.jpg
Thank You,workforce,30,workforce - thank you.jpg
Time Management,workforce,30,workforce - time management.jpg
Transition,workforce,30,workforce - transition.jpg
Workplace,workforce,30,workforce - workplace.jpg
"Agriculture, Food & Natural Resources",skill,40,skill - agriculture.jpg
Architecture & Construction,skill,40,skill - architecture.jpg
"Arts, A/V Tech & Communications",skill,40,skill - art.jpg
Business Management & Admin,skill,40,skill - business.jpg
Education & Training,skill,40,skill - education.jpg
"Film, Digital Media & Entertainment",skill,40,skill - film.jpg
Finance,skill,40,skill - finance.jpg
Government & Public Policy,skill,40,skill - government.jpg
Green Energy & Sustainable Technology,skill,40,skill - green energy.jpg
Health Sciences,skill,40,skill - health sciences.jpg
Hospitality & Tourism,skill,40,skill - hospitality.jpg
Human Services,skill,40,skill - human services.jpg
Information Technology,skill,40,skill - info tech.jpg
Law & Public Safety,skill,40,skill - law.jpg
Manufacturing,skill,40,skill - manufacturing.jpg
Marketing,skill,40,skill - marketing.jpg
STEAM Investigative Process,skill,40,skill - STEAM IP.jpg
"Transportation, Distribution & Logistics",skill,40,skill - transportation.jpg
Communications Director,lead,50,lead - communications director.jpg
Community Ecosystem,lead,50,lead - community ecosystem.jpg
Conflict Resolution,lead,50,lead - conflict resolution.jpg
Culture,lead,50,lead - culture.jpg
Family & Peer Network,lead,50,lead - family _ peers.jpg
Finance Director,lead,50,lead - finance director.jpg
General Manager,lead,50,lead - general manager.jpg
Leadership,lead,50,lead - leadership.jpg
Network Services Director,lead,50,lead - network director.jpg
Team Operations Director,lead,50,lead - team operations.jpg
Workshops & Special Events Director,lead,50,lead - workshops.jpg
